date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:31	101492/101492	---M-Z	200	added ('OK')	application/javascript	etag:%2218c74-63227e4142a00-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/jQueryLibrariesModule-64de028be5d69086aad69b1e6fd6964f.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/jQueryLibrariesModule-64de028be5d69086aad69b1e6fd6964f.js	(from https://periy1.webwave.dev/)
12:54:31	37313/37313	---M-Z	200	added ('OK')	application/javascript	etag:%2291c1-63227e3431e60-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/i18nModule-8107697d832b0a833aebd7b5a49462a2.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/i18nModule-8107697d832b0a833aebd7b5a49462a2.js	(from https://periy1.webwave.dev/)
12:54:31	44226/44226	---M-Z	200	added ('OK')	application/javascript	etag:%22acc2-63227e3ac7720-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/photoswipeModule-3673a14c3eb1bd8108b3bf9dbe569e84.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/photoswipeModule-3673a14c3eb1bd8108b3bf9dbe569e84.js	(from https://periy1.webwave.dev/)
12:54:32	149008/149008	---M-Z	200	added ('OK')	application/javascript	etag:%2224610-63227e3a98920-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/galleryModule-5734e351e98d435982411a74e04ac8d1.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/galleryModule-5734e351e98d435982411a74e04ac8d1.js	(from https://periy1.webwave.dev/)
12:54:32	181772/181772	---M-Z	200	added ('OK')	application/javascript	etag:%222c60c-63227e3099000-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/objectAnimationModule-28301a61746c921bd305e611e6f4c702.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/objectAnimationModule-28301a61746c921bd305e611e6f4c702.js	(from https://periy1.webwave.dev/)
12:54:32	171906/171906	---M-Z	200	added ('OK')	application/javascript	etag:%2229f82-63227e30922a0-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/postInitModule-c2d5e4f7ad0f8398011b8185cf2c8fef.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websitesResources/postInitModule-c2d5e4f7ad0f8398011b8185cf2c8fef.js	(from https://periy1.webwave.dev/)
12:54:33	866162/866162	---MCZ	200	added ('OK')	application/javascript	etag:%22d3772-63227e4146880-gzip%22	https://yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websiteModule-2c5035a4e1de83145463d7ffb63b8ade.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/staticContent/5.374.0/websitesResources/websiteModule-2c5035a4e1de83145463d7ffb63b8ade.js	(from https://periy1.webwave.dev/)
12:54:33	85033/85033	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214c29-6320ad1688482%22	https://yourbrand-18274.kxcdn.com/files/dynamicContent/sites/periy1/js/webpage_11/objectsStore/m94gb12v.js	D:/AI%20Projects/offline_websites/paintingsbykay/yourbrand-18274.kxcdn.com/files/dynamicContent/sites/periy1/js/webpage_11/objectsStore/m94gb12v.js	(from https://periy1.webwave.dev/)
12:54:33	1389/1389	---M-Z	200	added ('200')	application/json	date:Sat,%2026%20Apr%202025%2011:51:01%20GMT	https://periy1.webwave.dev/manifest.json	D:/AI%20Projects/offline_websites/paintingsbykay/periy1.webwave.dev/manifest.json	(from https://periy1.webwave.dev/)
12:54:34	185254/185254	---MCZ	200	added ('200')	text/html	date:Sat,%2026%20Apr%202025%2011:54:39%20GMT	https://periy1.webwave.dev/about	D:/AI%20Projects/offline_websites/paintingsbykay/periy1.webwave.dev/about.html	(from https://periy1.webwave.dev/)
